#{"t_start": 1642403457.640125, "env_id": null}
r,l,t
0.838955,4,6.022372
0.119464,4,6.04533
0.828446,4,6.066372
0.451088,4,6.083328
0.716539,4,6.101271
0.893151,4,6.121307
0.859607,4,6.135968
0.762727,4,6.146944
0.562378,4,6.159933
0.764457,4,6.172158
0.409734,4,6.181061
0.710497,4,6.191222
0.760827,4,6.202778
0.688814,4,6.215198
0.332469,4,6.224195
0.425767,4,6.236243
0.507388,4,6.248278
0.80801,4,6.258515
0.518066,4,6.267202
0.81825,4,6.275207
0.615791,4,6.286206
0.594241,4,6.29436
0.57669,4,6.301349
0.86117,4,6.31338
0.459422,4,6.324347
0.816264,4,6.336198
0.614889,4,6.347198
0.871216,4,6.357499
0.274518,4,6.367442
0.473904,4,6.37545
0.550231,4,6.386799
0.936833,4,6.399488
0.522256,4,6.411619
0.398057,4,6.423207
0.782098,4,6.434342
0.720204,4,6.444942
0.893456,4,6.455978
0.811987,4,6.470559
0.873164,4,6.484627
0.90138,4,6.497417
0.89158,4,6.507635
0.627157,4,6.51941
0.208399,4,6.532445
0.593753,4,6.542626
0.984663,4,6.554994
0.574172,4,6.565993
0.65179,4,6.578011
0.898776,4,6.58602
0.441282,4,6.595508
0.736746,4,6.602507
0.988785,4,6.611868
0.873303,4,6.623558
0.443825,4,6.635661
0.480847,4,6.648289
0.739864,4,6.659279
0.739648,4,6.669526
0.915193,4,6.680146
0.785034,4,6.690126
0.872395,4,6.701289
0.751103,4,6.714788
0.383296,4,6.727065
0.610495,4,6.737089
0.823035,4,6.749836
0.537767,4,6.760374
0.946586,4,6.770412
0.830803,4,6.780172
0.792393,4,6.790318
0.857001,4,6.800319
0.468522,4,6.811337
0.988236,4,6.822581
0.989762,4,6.834596
0.928507,4,6.845581
0.925611,4,6.856583
0.485663,4,6.868584
0.909988,4,6.878583
0.652244,4,6.88982
0.892595,4,6.901493
0.746031,4,6.913468
0.582909,4,6.923861
0.925565,4,6.935854
0.795119,4,6.946744
0.580628,4,6.956744
0.530611,4,6.967851
0.274657,4,6.981114
0.680208,4,6.993154
0.736756,4,7.005096
0.764378,4,7.019187
0.885928,4,7.034012
0.525914,4,7.043965
0.889618,4,7.060881
0.752824,4,7.069884
0.61293,4,7.080419
0.969492,4,7.091367
0.253716,4,7.103422
0.544637,4,7.117513
0.741763,4,7.128879
0.958455,4,7.140965
0.994556,4,7.153283
0.844926,4,7.167403
0.536065,4,7.181147
0.356857,4,7.194096
0.637526,4,7.206093
0.232874,4,7.21827
0.559539,4,7.232317
0.487013,4,7.24033
