#{"t_start": 1642371885.697059, "env_id": null}
r,l,t
0.159047,12,12.49999
0.427006,12,12.535812
0.466794,12,12.556063
0.650935,12,12.574579
0.30653,12,12.608911
0.173356,12,12.634628
0.386284,12,12.661654
0.576095,12,12.679622
0.49206,12,12.698609
0.528236,12,12.715139
0.812927,12,12.733007
0.278106,12,12.752249
0.381686,12,12.771455
0.620661,12,12.789489
0.36053,12,12.815833
0.245348,12,12.843214
0.857128,12,12.867215
0.542943,12,12.888701
0.472969,12,12.912372
0.335748,12,12.935882
0.350989,12,12.956099
0.453171,12,12.977849
0.063788,12,12.999727
0.60248,12,13.022085
0.807715,12,13.041046
0.576136,12,13.063498
0.732856,12,13.084357
0.263338,12,13.108179
0.390548,12,13.130522
0.847628,12,13.149842
0.307277,12,13.168852
0.569423,12,13.189102
0.222671,12,13.209404
0.394489,12,13.228472
0.124052,12,13.247878
0.390256,12,13.268264
0.383358,12,13.28666
0.781294,12,13.306453
0.676229,12,13.325215
0.736996,12,13.345593
0.647042,12,13.364252
0.533365,12,13.382181
0.681376,12,13.404204
0.786647,12,13.430186
0.497067,12,13.454471
0.71505,12,13.474458
0.263988,12,13.497981
0.178142,12,13.520511
0.455318,12,13.541199
0.263817,12,13.566786
0.267471,12,13.58548
0.574495,12,13.6066
0.815197,12,13.628578
0.647038,12,13.656209
0.806774,12,13.675924
0.623265,12,13.701186
0.357613,12,13.721358
0.406048,12,13.742667
0.16904,12,13.764568
0.429009,12,13.784317
0.721918,12,13.801834
0.646645,12,13.819703
0.593078,12,13.838465
0.573626,12,13.855448
0.150242,12,13.872681
0.600085,12,13.90811
0.392686,12,13.935906
0.571251,12,13.958974
0.017951,12,13.978936
0.187137,12,14.001869
0.523045,12,14.024769
0.342409,12,14.050409
0.341926,12,14.07097
0.164248,12,14.093901
0.847079,12,14.118049
0.755582,12,14.139551
0.367335,12,14.168598
0.580117,12,14.190583
0.68207,12,14.212325
0.409127,12,14.233773
0.731961,12,14.254555
0.818904,12,14.277533
0.303755,12,14.296587
0.674063,12,14.317555
0.37181,12,14.335428
0.077329,12,14.355595
0.410315,12,14.374843
0.913599,12,14.397621
0.291033,12,14.421557
0.590338,12,14.439557
0.526876,12,14.460311
0.586086,12,14.483352
0.549596,12,14.507006
0.084677,12,14.531801
0.386403,12,14.554953
0.884013,12,14.584234
0.402378,12,14.633647
0.655543,12,14.664997
0.602297,12,14.698128
0.284723,12,14.720304
0.814702,12,14.740584
0.246127,12,14.76274
0.542936,12,14.777948
0.34108,12,14.794989
0.615045,12,14.821822
0.550275,12,14.865602
0.295113,12,14.923291
0.563653,12,14.989412
0.817213,12,15.020667
0.729762,12,15.046599
0.382756,12,15.070707
0.459184,12,15.104323
0.433935,12,15.130021
0.450693,12,15.149912
0.621404,12,15.17049
0.24259,12,15.205982
0.43723,12,15.250441
0.17147,12,15.277592
0.358927,12,15.297751
0.731345,12,15.31951
0.731372,12,15.339051
0.207974,12,15.359052
0.644524,12,15.378187
0.294129,12,16.356936
0.397859,12,16.378751
0.237972,12,16.400621
0.505364,12,16.42187
0.851042,12,16.441805
0.191737,12,16.46323
0.784324,12,16.482315
0.817727,12,16.501744
0.118344,12,16.521556
0.2552,12,16.539398
0.103513,12,16.556082
0.324646,12,16.571826
0.392754,12,16.588619
0.28478,12,16.605485
0.092502,12,16.622715
0.380715,12,16.64046
0.458676,12,16.658025
0.345445,12,16.680466
0.583051,12,16.699233
0.333465,12,16.717128
0.497034,12,16.737606
0.809454,12,16.758152
0.477441,12,16.784344
0.196199,12,16.805063
0.157833,12,16.837602
0.568535,12,16.86697
0.462125,12,16.889753
0.830994,12,16.921392
0.61301,12,16.955383
0.701269,12,16.989966
0.491985,12,17.030412
0.234624,12,17.067202
0.4837,12,17.10244
0.853446,12,17.121433
0.517471,12,17.149065
0.316961,12,17.170835
0.628904,12,17.197704
0.095885,12,17.218368
0.709488,12,17.239352
0.753403,12,17.257328
0.719293,12,17.275873
0.59072,12,17.29474
0.249304,12,17.313099
0.50687,12,17.331312
0.639215,12,17.349176
0.727605,12,17.366942
0.885843,12,17.388807
0.753748,12,17.413692
0.519982,12,17.433313
0.765197,12,17.453302
0.73613,12,17.469523
0.367721,12,17.491457
0.309436,12,17.513443
0.467807,12,17.535443
0.75176,12,17.555452
0.406178,12,17.579497
0.29309,12,17.602108
0.219636,12,17.622415
0.459548,12,17.645462
0.483967,12,17.66311
0.283922,12,17.681151
0.47614,12,17.706848
0.41791,12,17.728487
0.246554,12,17.751952
0.113535,12,17.774395
0.348926,12,17.799858
0.437953,12,17.82471
0.657161,12,17.848216
0.299484,12,17.86726
0.789473,12,17.886515
0.572867,12,17.908275
0.128938,12,17.933661
0.308726,12,17.955157
0.702464,12,17.981348
0.157744,12,18.002058
0.709867,12,18.024311
0.493598,12,18.045127
0.241869,12,18.068394
0.445903,12,18.092072
0.429104,12,18.110696
0.525169,12,18.138789
0.571449,12,18.171607
0.702474,12,18.191139
0.709881,12,18.216716
0.202878,12,18.240501
0.17863,12,18.263979
0.480554,12,18.294889
0.581327,12,18.322923
0.853311,12,18.342949
0.518267,12,18.364597
0.583609,12,18.385086
0.564844,12,18.404353
0.531249,12,18.425285
0.372642,12,18.443676
0.679253,12,18.460635
0.844883,12,18.478481
0.264212,12,18.497681
0.338778,12,18.519133
0.350047,12,18.538102
0.371645,12,18.565778
0.56259,12,18.59858
0.571401,12,18.627534
0.829823,12,18.657476
0.565203,12,18.676431
0.254925,12,18.705332
0.137271,12,18.724443
0.615346,12,18.741207
0.402543,12,18.762863
0.081924,12,18.784064
0.152859,12,18.806677
0.290283,12,18.834715
0.43472,12,18.855539
0.786021,12,18.873947
0.645407,12,18.894146
0.583008,12,18.915337
0.893462,12,18.933352
0.588421,12,18.951281
0.410619,12,18.971491
0.527156,12,18.990893
0.454571,12,19.013652
0.532205,12,19.034027
0.177899,12,19.060694
0.28577,12,19.087439
0.364521,12,19.109273
0.630799,12,19.12924
0.800086,12,19.146449
0.669479,12,19.164277
0.58015,12,19.184953
0.180037,12,19.211085
0.631111,12,19.22791
0.426232,12,19.247001
0.47706,12,19.270279
0.538591,12,19.290121
0.374768,12,19.308405
0.744275,12,19.326682
0.70237,12,19.347109
0.065674,12,19.371402
0.435346,12,19.39116
0.296253,12,19.412239
0.609898,12,19.431129
0.701664,12,19.450946
0.511222,12,19.468354
0.528755,12,19.485259
0.326353,12,19.502432
0.510037,12,19.519523
0.365061,12,19.549708
0.129855,12,19.574727
0.432609,12,19.597461
0.785326,12,19.615289
0.68768,12,19.632559
0.495216,12,19.650283
0.565399,12,19.668727
0.682847,12,19.69218
0.312945,12,19.7117
0.710791,12,19.73431
0.180874,12,19.753033
0.541791,12,19.773489
0.404657,12,19.798163
0.419106,12,19.817796
0.744825,12,19.839839
0.454237,12,19.872206
0.712869,12,19.902302
0.49608,12,19.919955
0.591793,12,19.937829
0.739599,12,19.962112
0.630395,12,19.97981
0.488215,12,19.997738
0.14195,12,20.019871
0.662385,12,20.037874
0.149266,12,20.061737
0.222009,12,21.069382
0.485827,12,21.090299
0.575688,12,21.113039
0.334722,12,21.130814
0.728306,12,21.14906
0.732035,12,21.168164
0.469019,12,21.185818
0.397084,12,21.203838
0.515396,12,21.221628
0.303743,12,21.240832
0.565222,12,21.258762
0.60801,12,21.275434
0.049084,12,21.295884
0.567162,12,21.32896
0.25474,12,21.371302
0.243486,12,21.435103
0.389654,12,21.496728
0.102012,12,21.526479
0.38678,12,21.568483
0.321762,12,21.632069
0.523314,12,21.696728
0.51692,12,21.755177
0.270011,12,21.806304
0.707928,12,21.830494
0.372173,12,21.877957
0.176427,12,21.940975
0.593713,12,22.002219
0.605587,12,22.064939
0.81282,12,22.110591
0.381437,12,22.137222
0.269676,12,22.164466
0.507997,12,22.187303
0.251476,12,22.221413
0.649141,12,22.251955
0.527902,12,22.278
0.189246,12,22.303746
0.309321,12,22.324945
0.224625,12,22.348523
0.081157,12,22.371881
0.60986,12,22.393191
0.82022,12,22.418872
0.856819,12,22.443727
0.498203,12,22.465761
0.353255,12,22.486546
0.249286,12,22.507892
0.144742,12,22.528757
0.222103,12,22.547714
0.530037,12,22.566751
0.103616,12,22.585126
0.434579,12,22.612467
0.269432,12,22.63273
0.671065,12,22.649945
0.635819,12,22.676114
0.668985,12,22.700933
0.581018,12,22.723057
0.872468,12,22.739569
0.417185,12,22.756572
0.191289,12,22.772584
0.23105,12,22.789582
0.550862,12,22.811685
0.445072,12,22.831394
0.810927,12,22.85344
0.468756,12,22.8734
0.805596,12,22.897246
0.848916,12,22.918595
0.080337,12,22.939209
0.539219,12,22.96321
0.464155,12,22.985702
0.657417,12,23.018131
0.731722,12,23.039217
0.253839,12,23.057433
0.655418,12,23.077835
0.684142,12,23.101861
0.462316,12,23.118074
0.399996,12,23.138132
0.649518,12,23.160634
0.54567,12,23.179904
0.24972,12,23.211882
0.601909,12,23.237915
0.789335,12,23.260325
0.538562,12,23.288962
0.125326,12,23.31395
0.435727,12,23.330596
0.725949,12,23.348008
0.679257,12,23.366027
0.268999,12,23.39298
0.289831,12,23.41016
0.643313,12,23.430117
0.287408,12,23.447964
0.424314,12,23.465987
0.61051,12,23.499966
0.637534,12,23.526225
0.374954,12,23.5445
0.378065,12,23.566754
0.659803,12,23.590504
0.188414,12,23.616806
0.689471,12,23.63768
0.298407,12,23.657806
0.604516,12,23.681742
0.393575,12,23.70391
0.590499,12,23.726896
0.075243,12,23.750198
0.780862,12,23.778541
0.793456,12,23.80328
0.045591,12,23.824984
0.596817,12,23.852293
0.730278,12,23.874899
0.399295,12,23.897707
0.259656,12,23.918736
0.512822,12,23.940259
0.660588,12,23.963994
0.505176,12,23.984998
0.083688,12,24.003397
0.722559,12,24.021944
0.679828,12,24.041647
0.685787,12,24.062587
0.727502,12,24.080587
0.900743,12,24.100406
0.484821,12,24.11923
0.433107,12,24.149196
0.292777,12,24.179257
0.781892,12,24.197533
0.250588,12,24.218041
0.63888,12,24.236207
0.773935,12,24.25315
0.222401,12,24.281548
0.462094,12,24.300623
0.273274,12,24.318857
0.400281,12,24.342856
0.271542,12,24.365873
0.700321,12,24.389607
0.364984,12,24.409991
0.753241,12,24.435528
0.218283,12,24.456833
0.703974,12,24.478869
0.126662,12,24.503689
0.3151,12,24.524862
0.68645,12,24.54482
0.093853,12,24.567807
0.574987,12,24.590467
0.444697,12,24.613255
0.55429,12,24.634184
0.683643,12,24.659526
0.378251,12,24.684293
0.047288,12,24.703654
0.258283,12,24.726866
0.41278,12,24.752672
0.228832,12,24.798041
0.617388,12,24.819193
0.233315,12,24.840486
0.621142,12,24.857204
0.305055,12,24.884262
0.262485,12,24.907876
0.285599,12,24.924645
0.560773,12,24.942602
0.556764,12,24.969657
0.844048,12,24.987537
0.383796,12,25.009602
0.725736,12,25.042307
0.579307,12,25.071221
0.451584,12,25.099349
0.465793,12,25.125398
0.61523,12,25.141684
0.490281,12,25.157885
0.525732,12,25.183048
0.25698,12,25.218275
